trait	distance	cutoff	snp_set	Targeted_PositiveControl	enrichment	gene_set
Glucose	10000	log10 BF > 2	All SNPs	17	5.36	Expression
Glucose	20000	log10 BF > 2	All SNPs	26	5.15	Expression
Glucose	30000	log10 BF > 2	All SNPs	29	4.52	Expression
Glucose	40000	log10 BF > 2	All SNPs	33	4.36	Expression
Glucose	50000	log10 BF > 2	All SNPs	37	4.03	Expression
Glucose	60000	log10 BF > 2	All SNPs	38	3.65	Expression
Glucose	70000	log10 BF > 2	All SNPs	38	3.2	Expression
Glucose	80000	log10 BF > 2	All SNPs	39	2.94	Expression
Glucose	90000	log10 BF > 2	All SNPs	39	2.75	Expression
Glucose	100000	log10 BF > 2	All SNPs	40	2.64	Expression
Glucose	110000	log10 BF > 2	All SNPs	42	2.56	Expression
Glucose	120000	log10 BF > 2	All SNPs	43	2.52	Expression
Glucose	130000	log10 BF > 2	All SNPs	43	2.38	Expression
Glucose	140000	log10 BF > 2	All SNPs	43	2.24	Expression
Glucose	150000	log10 BF > 2	All SNPs	43	2.14	Expression
Glucose	160000	log10 BF > 2	All SNPs	44	2.12	Expression
Glucose	170000	log10 BF > 2	All SNPs	47	2.17	Expression
Glucose	180000	log10 BF > 2	All SNPs	47	2.12	Expression
Glucose	190000	log10 BF > 2	All SNPs	48	2.06	Expression
Glucose	200000	log10 BF > 2	All SNPs	48	2.01	Expression
Glucose	210000	log10 BF > 2	All SNPs	50	2.05	Expression
Glucose	220000	log10 BF > 2	All SNPs	50	1.97	Expression
Glucose	230000	log10 BF > 2	All SNPs	51	1.95	Expression
Glucose	240000	log10 BF > 2	All SNPs	53	1.96	Expression
Glucose	250000	log10 BF > 2	All SNPs	55	1.94	Expression
Glucose	260000	log10 BF > 2	All SNPs	56	1.92	Expression
Glucose	270000	log10 BF > 2	All SNPs	56	1.85	Expression
Glucose	280000	log10 BF > 2	All SNPs	56	1.81	Expression
Glucose	290000	log10 BF > 2	All SNPs	56	1.76	Expression
Glucose	300000	log10 BF > 2	All SNPs	57	1.74	Expression
Glucose	310000	log10 BF > 2	All SNPs	57	1.71	Expression
Glucose	320000	log10 BF > 2	All SNPs	60	1.74	Expression
Glucose	330000	log10 BF > 2	All SNPs	60	1.69	Expression
Glucose	340000	log10 BF > 2	All SNPs	61	1.68	Expression
Glucose	350000	log10 BF > 2	All SNPs	61	1.65	Expression
Glucose	360000	log10 BF > 2	All SNPs	63	1.66	Expression
Glucose	370000	log10 BF > 2	All SNPs	63	1.63	Expression
Glucose	380000	log10 BF > 2	All SNPs	64	1.63	Expression
Glucose	390000	log10 BF > 2	All SNPs	66	1.64	Expression
Glucose	400000	log10 BF > 2	All SNPs	66	1.61	Expression
Glucose	410000	log10 BF > 2	All SNPs	69	1.65	Expression
Glucose	420000	log10 BF > 2	All SNPs	70	1.64	Expression
Glucose	430000	log10 BF > 2	All SNPs	70	1.61	Expression
Glucose	440000	log10 BF > 2	All SNPs	70	1.57	Expression
Glucose	450000	log10 BF > 2	All SNPs	73	1.61	Expression
Glucose	460000	log10 BF > 2	All SNPs	73	1.59	Expression
Glucose	470000	log10 BF > 2	All SNPs	75	1.6	Expression
Glucose	480000	log10 BF > 2	All SNPs	75	1.57	Expression
Glucose	490000	log10 BF > 2	All SNPs	75	1.55	Expression
Glucose	500000	log10 BF > 2	All SNPs	76	1.55	Expression
Glucose	510000	log10 BF > 2	All SNPs	77	1.55	Expression
Glucose	520000	log10 BF > 2	All SNPs	78	1.53	Expression
Glucose	530000	log10 BF > 2	All SNPs	78	1.51	Expression
Glucose	540000	log10 BF > 2	All SNPs	80	1.53	Expression
Glucose	550000	log10 BF > 2	All SNPs	82	1.54	Expression
Glucose	560000	log10 BF > 2	All SNPs	83	1.53	Expression
Glucose	570000	log10 BF > 2	All SNPs	83	1.51	Expression
Glucose	580000	log10 BF > 2	All SNPs	84	1.5	Expression
Glucose	590000	log10 BF > 2	All SNPs	85	1.5	Expression
Glucose	600000	log10 BF > 2	All SNPs	85	1.47	Expression
Glucose	610000	log10 BF > 2	All SNPs	85	1.45	Expression
Glucose	620000	log10 BF > 2	All SNPs	87	1.47	Expression
Glucose	630000	log10 BF > 2	All SNPs	88	1.46	Expression
Glucose	640000	log10 BF > 2	All SNPs	89	1.46	Expression
Glucose	650000	log10 BF > 2	All SNPs	89	1.44	Expression
Glucose	660000	log10 BF > 2	All SNPs	89	1.42	Expression
Glucose	670000	log10 BF > 2	All SNPs	90	1.42	Expression
Glucose	680000	log10 BF > 2	All SNPs	93	1.45	Expression
Glucose	690000	log10 BF > 2	All SNPs	93	1.43	Expression
Glucose	700000	log10 BF > 2	All SNPs	94	1.42	Expression
Glucose	710000	log10 BF > 2	All SNPs	94	1.41	Expression
Glucose	720000	log10 BF > 2	All SNPs	94	1.4	Expression
Glucose	730000	log10 BF > 2	All SNPs	94	1.38	Expression
Glucose	740000	log10 BF > 2	All SNPs	94	1.37	Expression
Glucose	750000	log10 BF > 2	All SNPs	95	1.36	Expression
Glucose	760000	log10 BF > 2	All SNPs	96	1.36	Expression
Glucose	770000	log10 BF > 2	All SNPs	98	1.38	Expression
Glucose	780000	log10 BF > 2	All SNPs	98	1.36	Expression
Glucose	790000	log10 BF > 2	All SNPs	100	1.37	Expression
Glucose	800000	log10 BF > 2	All SNPs	100	1.36	Expression
Glucose	810000	log10 BF > 2	All SNPs	101	1.35	Expression
Glucose	820000	log10 BF > 2	All SNPs	102	1.36	Expression
Glucose	830000	log10 BF > 2	All SNPs	103	1.35	Expression
Glucose	840000	log10 BF > 2	All SNPs	105	1.37	Expression
Glucose	850000	log10 BF > 2	All SNPs	106	1.37	Expression
Glucose	860000	log10 BF > 2	All SNPs	108	1.38	Expression
Glucose	870000	log10 BF > 2	All SNPs	108	1.37	Expression
