distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	5	76	75	27255	23.91
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	7	126	75	27255	20.19
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	8	160	75	27255	18.17
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	9	190	75	27255	17.21
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	9	232	75	27255	14.1
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	265	75	27255	13.71
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	301	75	27255	12.07
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	336	75	27255	10.82
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	358	75	27255	10.15
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	382	75	27255	9.51
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	416	75	27255	8.74
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	433	75	27255	8.39
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	460	75	27255	7.9
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	491	75	27255	7.4
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	515	75	27255	7.06
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	534	75	27255	6.81
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	562	75	27255	6.47
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	582	75	27255	6.24
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	607	75	27255	5.99
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	623	75	27255	5.83
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	638	75	27255	6.27
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	667	75	27255	5.99
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	686	75	27255	5.83
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	711	75	27255	5.62
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	746	75	27255	5.36
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	764	75	27255	5.23
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	789	75	27255	5.07
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	805	75	27255	4.97
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	833	75	27255	4.8
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	850	75	27255	4.7
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	868	75	27255	5.02
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	890	75	27255	4.9
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	920	75	27255	4.74
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	941	75	27255	4.63
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	961	75	27255	4.54
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	981	75	27255	4.45
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1000	75	27255	4.36
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1017	75	27255	4.29
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1037	75	27255	4.21
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1056	75	27255	4.13
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1082	75	27255	4.03
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1103	75	27255	3.95
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1127	75	27255	3.87
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1148	75	27255	3.8
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1169	75	27255	4.04
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1188	75	27255	3.98
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1212	75	27255	3.9
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1235	75	27255	3.83
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1250	75	27255	3.78
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1267	75	27255	3.73
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	7	279	75	27255	9.12
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	321	75	27255	10.19
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	358	75	27255	9.14
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	393	75	27255	8.32
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	423	75	27255	7.73
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	462	75	27255	7.87
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	497	75	27255	7.31
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	528	75	27255	6.88
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	555	75	27255	6.55
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	583	75	27255	6.23
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	601	75	27255	6.05
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	621	75	27255	5.85
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	649	75	27255	5.6
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	681	75	27255	5.34
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	712	75	27255	5.1
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	742	75	27255	4.9
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	774	75	27255	4.7
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	796	75	27255	4.57
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	821	75	27255	4.43
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	849	75	27255	4.71
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	871	75	27255	4.59
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	907	75	27255	4.41
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	930	75	27255	4.3
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	963	75	27255	4.15
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	991	75	27255	4.03
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1016	75	27255	3.93
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1054	75	27255	3.79
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1077	75	27255	3.71
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1105	75	27255	3.62
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1139	75	27255	3.51
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1159	75	27255	3.45
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1194	75	27255	3.35
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1227	75	27255	3.26
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1254	75	27255	3.19
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1278	75	27255	3.13
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1309	75	27255	3.05
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1338	75	27255	2.99
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1362	75	27255	2.93
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1390	75	27255	2.88
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1412	75	27255	2.83
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1438	75	27255	2.78
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1471	75	27255	2.72
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	12	1499	75	27255	2.91
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	12	1527	75	27255	2.86
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	13	1547	75	27255	3.05
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	13	1573	75	27255	3
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	13	1601	75	27255	2.95
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	15	1633	75	27255	3.34
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	15	1657	75	27255	3.29
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	15	1677	75	27255	3.25
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	17	76	1037	27255	5.88
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	28	126	1037	27255	5.84
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	32	160	1037	27255	5.26
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	35	190	1037	27255	4.84
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	39	232	1037	27255	4.42
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	41	265	1037	27255	4.07
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	41	301	1037	27255	3.58
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	42	336	1037	27255	3.29
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	42	358	1037	27255	3.08
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	43	382	1037	27255	2.96
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	45	416	1037	27255	2.84
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	433	1037	27255	2.79
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	460	1037	27255	2.63
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	491	1037	27255	2.46
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	47	515	1037	27255	2.4
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	48	534	1037	27255	2.36
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	50	562	1037	27255	2.34
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	51	582	1037	27255	2.3
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	51	607	1037	27255	2.21
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	51	623	1037	27255	2.15
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	53	638	1037	27255	2.18
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	54	667	1037	27255	2.13
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	55	686	1037	27255	2.11
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	57	711	1037	27255	2.11
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	59	746	1037	27255	2.08
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	60	764	1037	27255	2.06
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	60	789	1037	27255	2
