distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	9	758	61	27255	5.31
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	13	1224	61	27255	4.75
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	16	1661	61	27255	4.3
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	19	2024	61	27255	4.19
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	21	2359	61	27255	3.98
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	21	2676	61	27255	3.51
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	23	3001	61	27255	3.42
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	23	3283	61	27255	3.13
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	25	3535	61	27255	3.16
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	29	3772	61	27255	3.44
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	30	4015	61	27255	3.34
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	31	4249	61	27255	3.26
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	32	4493	61	27255	3.18
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	32	4703	61	27255	3.04
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	4934	61	27255	3.08
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	5145	61	27255	2.95
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	34	5332	61	27255	2.85
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	35	5531	61	27255	2.83
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	35	5729	61	27255	2.73
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	5900	61	27255	2.73
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6077	61	27255	2.65
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6244	61	27255	2.58
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6371	61	27255	2.52
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6539	61	27255	2.46
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	36	6697	61	27255	2.4
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	37	6857	61	27255	2.41
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7011	61	27255	2.42
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7160	61	27255	2.37
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7322	61	27255	2.32
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7454	61	27255	2.28
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7594	61	27255	2.24
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7720	61	27255	2.2
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7871	61	27255	2.16
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	7985	61	27255	2.13
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8132	61	27255	2.09
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	ebmd-disease-drug	eBMD	38	8262	61	27255	2.06
