distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	11	865	246	27255	1.41
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	13	1054	246	27255	1.37
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	15	1189	246	27255	1.4
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	15	1305	246	27255	1.27
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	15	1399	246	27255	1.19
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	17	1500	246	27255	1.26
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	17	1583	246	27255	1.19
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	17	1670	246	27255	1.13
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	18	1745	246	27255	1.14
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	19	1837	246	27255	1.15
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	20	1917	246	27255	1.16
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	21	1988	246	27255	1.17
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	21	2074	246	27255	1.12
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	21	2149	246	27255	1.08
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	22	2221	246	27255	1.1
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	22	2292	246	27255	1.06
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	22	2372	246	27255	1.03
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	24	2461	246	27255	1.08
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2545	246	27255	1.09
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2627	246	27255	1.05
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2683	246	27255	1.03
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2752	246	27255	1.01
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2828	246	27255	0.98
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2894	246	27255	0.96
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2973	246	27255	0.93
