distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	8	307	246	27255	2.89
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	9	479	246	27255	2.08
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	10	627	246	27255	1.77
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	11	754	246	27255	1.62
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	12	868	246	27255	1.53
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	13	991	246	27255	1.45
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	14	1101	246	27255	1.41
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	14	1212	246	27255	1.28
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	15	1305	246	27255	1.27
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	16	1412	246	27255	1.26
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	18	1507	246	27255	1.32
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	19	1580	246	27255	1.33
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	19	1673	246	27255	1.26
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	19	1745	246	27255	1.21
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	21	1823	246	27255	1.28
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	21	1905	246	27255	1.22
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	23	1990	246	27255	1.28
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	24	2065	246	27255	1.29
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	25	2141	246	27255	1.29
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	Calcium_expression	CALCIUM	26	2224	246	27255	1.3
