distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	8	261	246	27255	3.4
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	9	402	246	27255	2.48
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	10	530	246	27255	2.09
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	10	642	246	27255	1.73
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	11	743	246	27255	1.64
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	11	853	246	27255	1.43
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	12	956	246	27255	1.39
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	12	1045	246	27255	1.27
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	13	1135	246	27255	1.27
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	14	1228	246	27255	1.26
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	16	1314	246	27255	1.35
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	17	1393	246	27255	1.35
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	18	1486	246	27255	1.34
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	18	1554	246	27255	1.28
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	20	1630	246	27255	1.36
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	20	1701	246	27255	1.3
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	21	1790	246	27255	1.3
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Calcium_expression	CALCIUM	22	1860	246	27255	1.31
