distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	1	83	246	27255	1.33
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	2	123	246	27255	1.8
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	2	164	246	27255	1.35
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	2	204	246	27255	1.09
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	2	241	246	27255	0.92
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	2	275	246	27255	0.81
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	314	246	27255	1.06
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	353	246	27255	0.94
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	384	246	27255	0.87
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	417	246	27255	0.8
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	455	246	27255	0.73
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	488	246	27255	0.68
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	523	246	27255	0.64
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	561	246	27255	0.59
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	602	246	27255	0.55
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	636	246	27255	0.52
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	674	246	27255	0.49
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	697	246	27255	0.48
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	737	246	27255	0.45
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	772	246	27255	0.43
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	813	246	27255	0.41
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	846	246	27255	0.39
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	885	246	27255	0.38
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	922	246	27255	0.36
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	958	246	27255	0.35
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	988	246	27255	0.34
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1026	246	27255	0.32
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1060	246	27255	0.31
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1094	246	27255	0.3
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1125	246	27255	0.3
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1159	246	27255	0.29
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1192	246	27255	0.28
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1225	246	27255	0.27
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1255	246	27255	0.26
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	3	1280	246	27255	0.26
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1308	246	27255	0.34
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1335	246	27255	0.33
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1363	246	27255	0.33
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1384	246	27255	0.32
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1415	246	27255	0.31
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	4	1442	246	27255	0.31
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	7	1484	246	27255	0.52
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	8	1517	246	27255	0.58
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	8	1552	246	27255	0.57
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	8	1580	246	27255	0.56
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	8	1607	246	27255	0.55
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	8	1637	246	27255	0.54
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	9	1666	246	27255	0.6
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	9	1700	246	27255	0.59
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Calcium_expression	CALCIUM	9	1732	246	27255	0.58
