distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	83	9	27255	36.49
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	123	9	27255	24.62
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	164	9	27255	18.47
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	204	9	27255	14.84
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	241	9	27255	12.57
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	275	9	27255	11.01
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	314	9	27255	9.64
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	353	9	27255	8.58
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	384	9	27255	7.89
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	417	9	27255	7.26
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	455	9	27255	6.66
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	1	488	9	27255	6.21
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	523	9	27255	11.58
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	561	9	27255	10.8
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	602	9	27255	10.06
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	636	9	27255	9.52
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	674	9	27255	8.99
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	697	9	27255	8.69
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	737	9	27255	8.22
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	772	9	27255	7.85
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	813	9	27255	7.45
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	846	9	27255	7.16
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	885	9	27255	6.84
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	922	9	27255	6.57
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	958	9	27255	6.32
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	988	9	27255	6.13
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1026	9	27255	5.9
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1060	9	27255	5.71
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1094	9	27255	5.54
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1125	9	27255	5.38
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1159	9	27255	5.23
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1192	9	27255	5.08
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1225	9	27255	4.94
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1255	9	27255	4.83
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1280	9	27255	4.73
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1308	9	27255	4.63
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1335	9	27255	4.54
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1363	9	27255	4.44
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1384	9	27255	4.38
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1415	9	27255	4.28
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1442	9	27255	4.2
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1484	9	27255	4.08
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1517	9	27255	3.99
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1552	9	27255	3.9
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1580	9	27255	3.83
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1607	9	27255	3.77
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1637	9	27255	3.7
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1666	9	27255	3.64
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1700	9	27255	3.56
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	calcium-disease-drug	CALCIUM	2	1732	9	27255	3.5
