distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	2	865	9	27255	7
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	3	1054	9	27255	8.62
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	3	1189	9	27255	7.64
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1305	9	27255	9.28
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1399	9	27255	8.66
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1500	9	27255	8.08
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1583	9	27255	7.65
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1670	9	27255	7.25
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1745	9	27255	6.94
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1837	9	27255	6.59
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1917	9	27255	6.32
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	1988	9	27255	6.09
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2074	9	27255	5.84
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2149	9	27255	5.64
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2221	9	27255	5.45
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2292	9	27255	5.29
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2372	9	27255	5.11
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2461	9	27255	4.92
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2545	9	27255	4.76
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2627	9	27255	4.61
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2683	9	27255	4.51
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2752	9	27255	4.4
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2828	9	27255	4.28
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2894	9	27255	4.19
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	2973	9	27255	4.07
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3039	9	27255	3.99
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3103	9	27255	3.9
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3159	9	27255	3.83
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3238	9	27255	3.74
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3298	9	27255	3.67
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3372	9	27255	3.59
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3444	9	27255	3.52
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3493	9	27255	3.47
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3573	9	27255	3.39
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3632	9	27255	3.34
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3671	9	27255	3.3
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	4	3734	9	27255	3.24
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	3795	9	27255	3.99
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	3856	9	27255	3.93
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	3913	9	27255	3.87
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	3981	9	27255	3.8
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4044	9	27255	3.74
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4099	9	27255	3.69
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4151	9	27255	3.65
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4206	9	27255	3.6
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4280	9	27255	3.54
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4352	9	27255	3.48
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4408	9	27255	3.44
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4456	9	27255	3.4
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	calcium_all_pc	CALCIUM	5	4512	9	27255	3.36
