distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	2	261	9	27255	23.21
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	2	402	9	27255	15.07
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	2	530	9	27255	11.43
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	642	9	27255	14.15
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	743	9	27255	12.23
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	853	9	27255	10.65
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	956	9	27255	9.5
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	1045	9	27255	8.69
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	1135	9	27255	8
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	1228	9	27255	7.4
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	1314	9	27255	6.91
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	3	1393	9	27255	6.52
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1486	9	27255	8.15
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1554	9	27255	7.79
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1630	9	27255	7.43
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1701	9	27255	7.12
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1790	9	27255	6.77
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1860	9	27255	6.51
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	1939	9	27255	6.25
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2017	9	27255	6.01
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2085	9	27255	5.81
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2153	9	27255	5.63
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2216	9	27255	5.47
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2280	9	27255	5.31
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2347	9	27255	5.16
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2412	9	27255	5.02
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2480	9	27255	4.88
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2539	9	27255	4.77
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2598	9	27255	4.66
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2664	9	27255	4.55
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2726	9	27255	4.44
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2781	9	27255	4.36
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2839	9	27255	4.27
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2904	9	27255	4.17
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	2963	9	27255	4.09
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3011	9	27255	4.02
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3077	9	27255	3.94
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3121	9	27255	3.88
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3166	9	27255	3.83
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3225	9	27255	3.76
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	calcium_all_pc	CALCIUM	4	3284	9	27255	3.69
