distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	15	70	1066	27255	5.48
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	124	1066	27255	5.15
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	30	160	1066	27255	4.79
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	36	211	1066	27255	4.36
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	38	246	1066	27255	3.95
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	40	282	1066	27255	3.63
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	43	322	1066	27255	3.41
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	45	358	1066	27255	3.21
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	47	390	1066	27255	3.08
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	47	408	1066	27255	2.95
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	47	431	1066	27255	2.79
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	51	453	1066	27255	2.88
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	52	482	1066	27255	2.76
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	53	510	1066	27255	2.66
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	53	531	1066	27255	2.55
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	55	563	1066	27255	2.5
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	55	581	1066	27255	2.42
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	55	607	1066	27255	2.32
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	59	631	1066	27255	2.39
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	61	652	1066	27255	2.39
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	62	686	1066	27255	2.31
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	62	706	1066	27255	2.25
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	63	729	1066	27255	2.21
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	66	755	1066	27255	2.24
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	68	780	1066	27255	2.23
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	69	795	1066	27255	2.22
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	69	815	1066	27255	2.16
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	69	840	1066	27255	2.1
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	73	867	1066	27255	2.15
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	75	890	1066	27255	2.15
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	76	908	1066	27255	2.14
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	76	921	1066	27255	2.11
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	76	945	1066	27255	2.06
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	76	962	1066	27255	2.02
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	76	984	1066	27255	1.97
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	78	1005	1066	27255	1.98
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	80	1024	1066	27255	2
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	82	1040	1066	27255	2.02
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	85	1066	1066	27255	2.04
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	85	1080	1066	27255	2.01
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	86	1100	1066	27255	2
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	88	1118	1066	27255	2.01
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	90	1134	1066	27255	2.03
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	91	1163	1066	27255	2
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	93	1175	1066	27255	2.02
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	95	1194	1066	27255	2.03
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	96	1208	1066	27255	2.03
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	97	1229	1066	27255	2.02
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	98	1249	1066	27255	2.01
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	99	1268	1066	27255	2
