distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	6	22	1066	27255	6.97
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	6	35	1066	27255	4.38
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	8	50	1066	27255	4.09
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	10	66	1066	27255	3.87
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	11	81	1066	27255	3.47
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	12	102	1066	27255	3.01
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	12	118	1066	27255	2.6
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	13	131	1066	27255	2.54
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	13	147	1066	27255	2.26
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	13	155	1066	27255	2.14
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	13	164	1066	27255	2.03
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	15	182	1066	27255	2.11
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	15	194	1066	27255	1.98
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	15	205	1066	27255	1.87
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	16	214	1066	27255	1.91
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	16	227	1066	27255	1.8
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	16	233	1066	27255	1.76
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	16	244	1066	27255	1.68
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	16	249	1066	27255	1.64
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	17	257	1066	27255	1.69
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	17	273	1066	27255	1.59
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	17	283	1066	27255	1.54
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	17	300	1066	27255	1.45
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	18	310	1066	27255	1.48
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	18	326	1066	27255	1.41
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	18	333	1066	27255	1.38
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	18	346	1066	27255	1.33
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	18	358	1066	27255	1.29
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	20	367	1066	27255	1.39
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	24	381	1066	27255	1.61
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	395	1066	27255	1.62
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	400	1066	27255	1.6
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	412	1066	27255	1.55
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	421	1066	27255	1.52
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	428	1066	27255	1.49
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	25	435	1066	27255	1.47
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	26	442	1066	27255	1.5
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	27	448	1066	27255	1.54
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	29	457	1066	27255	1.62
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	29	465	1066	27255	1.59
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	29	473	1066	27255	1.57
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	30	479	1066	27255	1.6
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	31	491	1066	27255	1.61
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	32	505	1066	27255	1.62
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	32	511	1066	27255	1.6
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	32	519	1066	27255	1.58
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	34	531	1066	27255	1.64
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	35	542	1066	27255	1.65
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	35	548	1066	27255	1.63
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Bilirubin_D_expression	DBILIRUBIN	35	556	1066	27255	1.61
