distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	40	272	1066	27255	3.76
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	48	336	1066	27255	3.65
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	51	384	1066	27255	3.4
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	53	422	1066	27255	3.21
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	55	457	1066	27255	3.08
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	58	493	1066	27255	3.01
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	60	531	1066	27255	2.89
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	60	565	1066	27255	2.72
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	62	585	1066	27255	2.71
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	63	611	1066	27255	2.64
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	64	640	1066	27255	2.56
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	65	665	1066	27255	2.5
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	67	688	1066	27255	2.49
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	68	712	1066	27255	2.44
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	71	737	1066	27255	2.46
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	72	765	1066	27255	2.41
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	72	785	1066	27255	2.35
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	74	802	1066	27255	2.36
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	77	830	1066	27255	2.37
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	79	850	1066	27255	2.38
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	80	881	1066	27255	2.32
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	80	897	1066	27255	2.28
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	81	920	1066	27255	2.25
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	83	943	1066	27255	2.25
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	83	971	1066	27255	2.19
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	85	996	1066	27255	2.18
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	87	1023	1066	27255	2.17
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	89	1044	1066	27255	2.18
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	91	1067	1066	27255	2.18
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	96	1098	1066	27255	2.24
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	97	1121	1066	27255	2.21
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	97	1145	1066	27255	2.17
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	97	1174	1066	27255	2.11
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	98	1195	1066	27255	2.1
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	98	1219	1066	27255	2.06
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	98	1234	1066	27255	2.03
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	100	1253	1066	27255	2.04
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	102	1274	1066	27255	2.05
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	103	1293	1066	27255	2.04
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	104	1314	1066	27255	2.02
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	104	1338	1066	27255	1.99
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	107	1364	1066	27255	2.01
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	107	1380	1066	27255	1.98
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	109	1402	1066	27255	1.99
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	109	1414	1066	27255	1.97
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	110	1441	1066	27255	1.95
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	110	1455	1066	27255	1.93
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	111	1475	1066	27255	1.92
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	112	1500	1066	27255	1.91
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	113	1525	1066	27255	1.89
