distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	15	85	1066	27255	4.51
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	25	142	1066	27255	4.5
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	32	188	1066	27255	4.35
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	37	237	1066	27255	3.99
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	39	272	1066	27255	3.67
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	44	311	1066	27255	3.62
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	47	355	1066	27255	3.38
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	48	391	1066	27255	3.14
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	50	422	1066	27255	3.03
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	50	439	1066	27255	2.91
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	50	463	1066	27255	2.76
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	53	489	1066	27255	2.77
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	54	516	1066	27255	2.68
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	55	543	1066	27255	2.59
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	55	566	1066	27255	2.48
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	57	597	1066	27255	2.44
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	57	615	1066	27255	2.37
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	57	641	1066	27255	2.27
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	60	662	1066	27255	2.32
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	63	684	1066	27255	2.35
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	64	717	1066	27255	2.28
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	64	735	1066	27255	2.23
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	65	756	1066	27255	2.2
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	68	781	1066	27255	2.23
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	70	807	1066	27255	2.22
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	71	825	1066	27255	2.2
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	71	846	1066	27255	2.15
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	bilirubin_d_all_pc	DBILIRUBIN	71	869	1066	27255	2.09
