distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	272	2	27255	100.2
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	336	2	27255	81.12
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	384	2	27255	70.98
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	422	2	27255	64.59
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	457	2	27255	59.64
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	493	2	27255	55.28
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	531	2	27255	51.33
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	565	2	27255	48.24
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	585	2	27255	46.59
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	611	2	27255	44.61
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	640	2	27255	42.59
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	665	2	27255	40.98
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	688	2	27255	39.61
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	712	2	27255	38.28
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	737	2	27255	36.98
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	765	2	27255	35.63
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	785	2	27255	34.72
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	802	2	27255	33.98
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	830	2	27255	32.84
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	850	2	27255	32.06
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	881	2	27255	30.94
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	897	2	27255	30.38
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	920	2	27255	29.63
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	943	2	27255	28.9
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	971	2	27255	28.07
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	996	2	27255	27.36
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1023	2	27255	26.64
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1044	2	27255	26.11
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1067	2	27255	25.54
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1098	2	27255	24.82
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1121	2	27255	24.31
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1145	2	27255	23.8
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1174	2	27255	23.22
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1195	2	27255	22.81
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1219	2	27255	22.36
