distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	85	2	27255	160.32
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	142	2	27255	95.97
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	188	2	27255	72.49
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	237	2	27255	115
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	272	2	27255	100.2
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	311	2	27255	87.64
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	355	2	27255	76.77
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	391	2	27255	69.71
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	422	2	27255	64.59
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	439	2	27255	62.08
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	463	2	27255	58.87
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	489	2	27255	55.74
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	516	2	27255	52.82
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	543	2	27255	50.19
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	566	2	27255	48.15
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	597	2	27255	45.65
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	615	2	27255	44.32
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	641	2	27255	42.52
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	662	2	27255	41.17
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	684	2	27255	39.85
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	717	2	27255	38.01
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	735	2	27255	37.08
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	756	2	27255	36.05
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	781	2	27255	34.9
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	807	2	27255	33.77
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	825	2	27255	33.04
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	846	2	27255	32.22
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	869	2	27255	31.36
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	901	2	27255	30.25
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	924	2	27255	29.5
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	946	2	27255	28.81
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	960	2	27255	28.39
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	985	2	27255	27.67
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1006	2	27255	27.09
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1027	2	27255	26.54
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1048	2	27255	26.01
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1066	2	27255	25.57
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1086	2	27255	25.1
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1108	2	27255	24.6
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1124	2	27255	24.25
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1146	2	27255	23.78
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1166	2	27255	23.37
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1181	2	27255	23.08
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1208	2	27255	22.56
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1220	2	27255	22.34
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1237	2	27255	22.03
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1251	2	27255	21.79
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1271	2	27255	21.44
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1293	2	27255	21.08
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	1312	2	27255	20.77
