distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	70	2	27255	194.68
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	124	2	27255	109.9
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	160	2	27255	85.17
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	211	2	27255	129.17
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	246	2	27255	110.79
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	282	2	27255	96.65
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	322	2	27255	84.64
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	358	2	27255	76.13
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	390	2	27255	69.88
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	408	2	27255	66.8
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	431	2	27255	63.24
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	453	2	27255	60.17
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	482	2	27255	56.55
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	510	2	27255	53.44
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	531	2	27255	51.33
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	563	2	27255	48.41
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	581	2	27255	46.91
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	607	2	27255	44.9
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	631	2	27255	43.19
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	652	2	27255	41.8
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	2	686	2	27255	39.73
