distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	0	22	2	27255	0
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	0	35	2	27255	0
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	0	50	2	27255	0
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	0	66	2	27255	0
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	81	2	27255	168.24
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	102	2	27255	133.6
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	118	2	27255	115.49
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	131	2	27255	104.03
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	147	2	27255	92.7
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	155	2	27255	87.92
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	164	2	27255	83.09
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	182	2	27255	74.88
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	194	2	27255	70.24
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	205	2	27255	66.48
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	214	2	27255	63.68
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	227	2	27255	60.03
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	233	2	27255	58.49
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	244	2	27255	55.85
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	249	2	27255	54.73
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	257	2	27255	53.03
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	273	2	27255	49.92
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	283	2	27255	48.15
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	300	2	27255	45.43
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	310	2	27255	43.96
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	326	2	27255	41.8
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	333	2	27255	40.92
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	346	2	27255	39.39
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	358	2	27255	38.07
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	367	2	27255	37.13
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	381	2	27255	35.77
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	395	2	27255	34.5
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	400	2	27255	34.07
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	412	2	27255	33.08
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	421	2	27255	32.37
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	428	2	27255	31.84
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	435	2	27255	31.33
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	442	2	27255	30.83
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbilirubin-disease-drug	DBILIRUBIN	1	448	2	27255	30.42
