distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	55	1502	709	27255	1.41
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	65	1799	709	27255	1.39
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	76	2035	709	27255	1.44
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	79	2223	709	27255	1.37
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	87	2432	709	27255	1.38
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	94	2592	709	27255	1.39
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	98	2755	709	27255	1.37
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	102	2913	709	27255	1.35
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	104	3056	709	27255	1.31
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	107	3188	709	27255	1.29
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	110	3333	709	27255	1.27
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	113	3443	709	27255	1.26
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	115	3567	709	27255	1.24
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	119	3706	709	27255	1.23
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	122	3849	709	27255	1.22
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	126	3959	709	27255	1.22
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	130	4097	709	27255	1.22
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	133	4213	709	27255	1.21
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	136	4320	709	27255	1.21
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	140	4453	709	27255	1.21
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	144	4574	709	27255	1.21
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	150	4712	709	27255	1.22
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	155	4828	709	27255	1.23
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	156	4967	709	27255	1.21
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	159	5087	709	27255	1.2
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	BP_expression	DIASTOLIC	162	5208	709	27255	1.2
