distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	21	381	709	27255	2.12
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	26	624	709	27255	1.6
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	36	843	709	27255	1.64
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	40	1022	709	27255	1.5
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	45	1192	709	27255	1.45
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	53	1352	709	27255	1.51
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	59	1517	709	27255	1.5
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	63	1679	709	27255	1.44
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	66	1844	709	27255	1.38
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	69	1987	709	27255	1.33
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	73	2125	709	27255	1.32
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	78	2261	709	27255	1.33
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	83	2404	709	27255	1.33
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	86	2523	709	27255	1.31
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	87	2664	709	27255	1.26
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	94	2786	709	27255	1.3
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	99	2915	709	27255	1.31
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	106	3037	709	27255	1.34
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	109	3146	709	27255	1.33
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	112	3255	709	27255	1.32
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	117	3382	709	27255	1.33
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	122	3483	709	27255	1.35
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	126	3585	709	27255	1.35
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	129	3681	709	27255	1.35
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	136	3786	709	27255	1.38
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	137	3871	709	27255	1.36
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	139	3976	709	27255	1.34
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	142	4091	709	27255	1.33
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	147	4188	709	27255	1.35
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	151	4291	709	27255	1.35
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	153	4392	709	27255	1.34
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	153	4465	709	27255	1.32
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	154	4576	709	27255	1.29
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	158	4679	709	27255	1.3
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	161	4768	709	27255	1.3
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	164	4857	709	27255	1.3
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	167	4931	709	27255	1.3
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	167	5024	709	27255	1.28
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	168	5109	709	27255	1.26
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	171	5189	709	27255	1.27
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	176	5272	709	27255	1.28
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	179	5347	709	27255	1.29
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	182	5432	709	27255	1.29
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	183	5506	709	27255	1.28
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	186	5591	709	27255	1.28
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	186	5682	709	27255	1.26
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	187	5758	709	27255	1.25
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	187	5835	709	27255	1.23
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	190	5913	709	27255	1.24
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	BP_expression	DIASTOLIC	190	5984	709	27255	1.22
