distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	20	327	709	27255	2.35
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	25	532	709	27255	1.81
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	34	724	709	27255	1.81
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	38	878	709	27255	1.66
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	43	1027	709	27255	1.61
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	50	1178	709	27255	1.63
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	55	1328	709	27255	1.59
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	59	1473	709	27255	1.54
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	62	1629	709	27255	1.46
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	64	1751	709	27255	1.41
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	69	1880	709	27255	1.41
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	73	2014	709	27255	1.39
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	78	2141	709	27255	1.4
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	82	2254	709	27255	1.4
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	83	2373	709	27255	1.34
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	91	2492	709	27255	1.4
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	96	2608	709	27255	1.42
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	101	2725	709	27255	1.42
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	103	2834	709	27255	1.4
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	105	2937	709	27255	1.37
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	109	3053	709	27255	1.37
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	113	3152	709	27255	1.38
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	116	3249	709	27255	1.37
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	119	3340	709	27255	1.37
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	125	3443	709	27255	1.4
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	128	3539	709	27255	1.39
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	130	3636	709	27255	1.37
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	132	3737	709	27255	1.36
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	138	3835	709	27255	1.38
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	142	3936	709	27255	1.39
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	145	4036	709	27255	1.38
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	146	4106	709	27255	1.37
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	147	4211	709	27255	1.34
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	151	4311	709	27255	1.35
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	155	4398	709	27255	1.35
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	158	4484	709	27255	1.35
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	161	4558	709	27255	1.36
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	161	4639	709	27255	1.33
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	163	4731	709	27255	1.32
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	165	4808	709	27255	1.32
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	168	4890	709	27255	1.32
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	172	4965	709	27255	1.33
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	176	5048	709	27255	1.34
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	177	5123	709	27255	1.33
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	179	5205	709	27255	1.32
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	179	5296	709	27255	1.3
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	180	5372	709	27255	1.29
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	180	5451	709	27255	1.27
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	183	5520	709	27255	1.27
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	BP_expression	DIASTOLIC	183	5581	709	27255	1.26
