distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	7	85	709	27255	3.17
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	11	136	709	27255	3.11
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	14	190	709	27255	2.83
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	14	233	709	27255	2.31
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	15	282	709	27255	2.04
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	16	332	709	27255	1.85
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	17	368	709	27255	1.78
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	18	416	709	27255	1.66
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	19	454	709	27255	1.61
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	19	484	709	27255	1.51
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	19	519	709	27255	1.41
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	20	567	709	27255	1.36
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	24	624	709	27255	1.48
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	24	670	709	27255	1.38
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	BP_expression	DIASTOLIC	24	714	709	27255	1.29
