distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	5	1502	29	27255	3.13
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	6	1799	29	27255	3.13
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2035	29	27255	3.23
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2223	29	27255	2.96
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2432	29	27255	2.71
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2592	29	27255	2.54
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2755	29	27255	2.39
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2913	29	27255	2.26
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3056	29	27255	2.15
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3188	29	27255	2.06
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3333	29	27255	1.97
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3443	29	27255	1.91
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3567	29	27255	1.84
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3706	29	27255	1.78
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3849	29	27255	1.71
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3959	29	27255	1.66
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4097	29	27255	1.61
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4213	29	27255	1.56
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4320	29	27255	1.74
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4453	29	27255	1.69
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4574	29	27255	1.64
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4712	29	27255	1.6
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4828	29	27255	1.56
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4967	29	27255	1.51
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5087	29	27255	1.48
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5208	29	27255	1.44
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5320	29	27255	1.41
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5433	29	27255	1.38
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5548	29	27255	1.36
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5659	29	27255	1.33
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	9	5752	29	27255	1.47
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	9	5866	29	27255	1.44
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	9	5968	29	27255	1.42
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	9	6077	29	27255	1.39
