distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	4	381	29	27255	9.87
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	4	624	29	27255	6.02
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	5	843	29	27255	5.57
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	6	1022	29	27255	5.52
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	6	1192	29	27255	4.73
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	6	1352	29	27255	4.17
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	1517	29	27255	4.34
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	1679	29	27255	3.92
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	1844	29	27255	3.57
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	1987	29	27255	3.31
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2125	29	27255	3.1
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2261	29	27255	2.91
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2404	29	27255	2.74
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2523	29	27255	2.61
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2664	29	27255	2.47
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2786	29	27255	2.36
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	2915	29	27255	2.26
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3037	29	27255	2.17
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3146	29	27255	2.09
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3255	29	27255	2.02
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3382	29	27255	1.95
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3483	29	27255	1.89
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3585	29	27255	1.84
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3681	29	27255	1.79
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3786	29	27255	1.74
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3871	29	27255	1.7
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	3976	29	27255	1.65
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4091	29	27255	1.61
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4188	29	27255	1.57
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4291	29	27255	1.53
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4392	29	27255	1.5
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4465	29	27255	1.47
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	7	4576	29	27255	1.44
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4679	29	27255	1.61
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4768	29	27255	1.58
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4857	29	27255	1.55
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	4931	29	27255	1.52
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5024	29	27255	1.5
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5109	29	27255	1.47
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5189	29	27255	1.45
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5272	29	27255	1.43
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5347	29	27255	1.41
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5432	29	27255	1.38
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5506	29	27255	1.37
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5591	29	27255	1.34
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5682	29	27255	1.32
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5758	29	27255	1.31
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5835	29	27255	1.29
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5913	29	27255	1.27
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	dbp-disease-drug	DIASTOLIC	8	5984	29	27255	1.26
