distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	4	327	29	27255	11.5
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	4	532	29	27255	7.07
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	5	724	29	27255	6.49
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	6	878	29	27255	6.42
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	6	1027	29	27255	5.49
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	6	1178	29	27255	4.79
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	1328	29	27255	4.95
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	1473	29	27255	4.47
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	1629	29	27255	4.04
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	1751	29	27255	3.76
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	1880	29	27255	3.5
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2014	29	27255	3.27
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2141	29	27255	3.07
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2254	29	27255	2.92
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2373	29	27255	2.77
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2492	29	27255	2.64
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2608	29	27255	2.52
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2725	29	27255	2.41
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2834	29	27255	2.32
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	2937	29	27255	2.24
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3053	29	27255	2.15
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3152	29	27255	2.09
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3249	29	27255	2.02
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3340	29	27255	1.97
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3443	29	27255	1.91
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3539	29	27255	1.86
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3636	29	27255	1.81
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3737	29	27255	1.76
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3835	29	27255	1.72
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	3936	29	27255	1.67
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	4036	29	27255	1.63
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	4106	29	27255	1.6
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	7	4211	29	27255	1.56
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4311	29	27255	1.74
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4398	29	27255	1.71
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4484	29	27255	1.68
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4558	29	27255	1.65
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4639	29	27255	1.62
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4731	29	27255	1.59
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4808	29	27255	1.56
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4890	29	27255	1.54
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	4965	29	27255	1.51
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5048	29	27255	1.49
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5123	29	27255	1.47
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5205	29	27255	1.44
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5296	29	27255	1.42
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5372	29	27255	1.4
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5451	29	27255	1.38
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5520	29	27255	1.36
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	dbp-disease-drug	DIASTOLIC	8	5581	29	27255	1.35
