distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	1	85	29	27255	11.06
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	1	136	29	27255	6.91
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	1	190	29	27255	4.95
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	233	29	27255	8.07
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	282	29	27255	6.67
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	332	29	27255	5.66
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	368	29	27255	5.11
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	416	29	27255	4.52
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	454	29	27255	4.14
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	484	29	27255	3.88
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	519	29	27255	3.62
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	567	29	27255	3.32
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	624	29	27255	3.01
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	670	29	27255	2.81
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	714	29	27255	2.63
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	769	29	27255	2.44
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	817	29	27255	2.3
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	866	29	27255	2.17
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	911	29	27255	2.06
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	964	29	27255	1.95
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1014	29	27255	1.85
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1062	29	27255	1.77
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1102	29	27255	1.71
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1137	29	27255	1.65
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1182	29	27255	1.59
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1227	29	27255	1.53
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1269	29	27255	1.48
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1305	29	27255	1.44
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1349	29	27255	1.39
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1382	29	27255	1.36
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1428	29	27255	1.32
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1472	29	27255	1.28
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1517	29	27255	1.24
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	2	1562	29	27255	1.2
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1591	29	27255	1.77
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1627	29	27255	1.73
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1666	29	27255	1.69
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1712	29	27255	1.65
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1753	29	27255	1.61
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1790	29	27255	1.58
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1827	29	27255	1.54
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1857	29	27255	1.52
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1887	29	27255	1.49
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1913	29	27255	1.47
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1961	29	27255	1.44
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	1998	29	27255	1.41
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	2032	29	27255	1.39
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	2069	29	27255	1.36
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	2106	29	27255	1.34
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	dbp_all_pc	DIASTOLIC	3	2134	29	27255	1.32
