distance	cutoff	targeting_method	snp_set	annotation	trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	35	279	982	27255	3.48175765937411
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	40	321	982	27255	3.45851495136761
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	40	358	982	27255	3.10107066868436
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	42	393	982	27255	2.96613858615382
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	45	423	982	27255	2.95261515794947
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	45	462	982	27255	2.70336842383686
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	46	497	982	27255	2.56883459617173
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	49	528	982	27255	2.57570935937789
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	49	555	982	27255	2.45040457973248
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	50	583	982	27255	2.38032439834692
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	51	601	982	27255	2.35521415427783
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	51	621	982	27255	2.27936184657162
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	52	649	982	27255	2.22378781079461
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	52	681	982	27255	2.11929264200544
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	54	712	982	27255	2.10498237945948
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	742	982	27255	2.09468547054529
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	58	774	982	27255	2.07980075466932
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	58	796	982	27255	2.02231882426389
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	59	821	982	27255	1.99454368647841
