distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	35	279	982	27255	3.48
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	40	321	982	27255	3.46
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	40	358	982	27255	3.1
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	42	393	982	27255	2.97
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	45	423	982	27255	2.95
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	45	462	982	27255	2.7
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	46	497	982	27255	2.57
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	49	528	982	27255	2.58
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	49	555	982	27255	2.45
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	50	583	982	27255	2.38
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	51	601	982	27255	2.36
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	51	621	982	27255	2.28
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	52	649	982	27255	2.22
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	52	681	982	27255	2.12
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	54	712	982	27255	2.1
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	742	982	27255	2.09
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	58	774	982	27255	2.08
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	58	796	982	27255	2.02
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	59	821	982	27255	1.99
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	849	982	27255	1.99
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	871	982	27255	1.94
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	64	907	982	27255	1.96
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	64	930	982	27255	1.91
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	65	963	982	27255	1.87
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	68	991	982	27255	1.9
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	69	1016	982	27255	1.88
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	70	1054	982	27255	1.84
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	71	1077	982	27255	1.83
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	72	1105	982	27255	1.81
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	74	1139	982	27255	1.8
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	75	1159	982	27255	1.8
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	79	1194	982	27255	1.84
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	79	1227	982	27255	1.79
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	80	1254	982	27255	1.77
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	81	1278	982	27255	1.76
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	83	1309	982	27255	1.76
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	85	1338	982	27255	1.76
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	85	1362	982	27255	1.73
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	88	1390	982	27255	1.76
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	90	1412	982	27255	1.77
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	92	1438	982	27255	1.78
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	93	1471	982	27255	1.75
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	93	1499	982	27255	1.72
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1527	982	27255	1.74
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1547	982	27255	1.72
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1573	982	27255	1.69
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1601	982	27255	1.66
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1633	982	27255	1.65
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1657	982	27255	1.62
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1677	982	27255	1.61
