distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	17	88	982	27255	5.36
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	26	140	982	27255	5.15
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	29	178	982	27255	4.52
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	33	210	982	27255	4.36
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	37	255	982	27255	4.03
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	38	289	982	27255	3.65
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	38	330	982	27255	3.2
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	39	368	982	27255	2.94
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	39	394	982	27255	2.75
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	40	421	982	27255	2.64
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	42	455	982	27255	2.56
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	43	474	982	27255	2.52
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	43	501	982	27255	2.38
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	43	533	982	27255	2.24
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	43	558	982	27255	2.14
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	44	577	982	27255	2.12
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	47	600	982	27255	2.17
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	47	616	982	27255	2.12
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	48	647	982	27255	2.06
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	48	662	982	27255	2.01
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	50	678	982	27255	2.05
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	50	706	982	27255	1.97
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	51	726	982	27255	1.95
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	53	752	982	27255	1.96
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	55	788	982	27255	1.94
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	811	982	27255	1.92
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	838	982	27255	1.85
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	858	982	27255	1.81
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	56	884	982	27255	1.76
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	57	909	982	27255	1.74
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	57	927	982	27255	1.71
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	60	955	982	27255	1.74
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	60	983	982	27255	1.69
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	1006	982	27255	1.68
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	1027	982	27255	1.65
