distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	16	76	982	27255	5.84
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	26	126	982	27255	5.73
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	29	160	982	27255	5.03
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	32	190	982	27255	4.67
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	36	232	982	27255	4.31
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	37	265	982	27255	3.88
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	37	301	982	27255	3.41
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	38	336	982	27255	3.14
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	38	358	982	27255	2.95
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	39	382	982	27255	2.83
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	41	416	982	27255	2.74
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	42	433	982	27255	2.69
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	42	460	982	27255	2.53
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	42	491	982	27255	2.37
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	43	515	982	27255	2.32
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	44	534	982	27255	2.29
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	46	562	982	27255	2.27
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	47	582	982	27255	2.24
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	47	607	982	27255	2.15
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	47	623	982	27255	2.09
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	49	638	982	27255	2.13
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	50	667	982	27255	2.08
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	51	686	982	27255	2.06
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	53	711	982	27255	2.07
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	55	746	982	27255	2.05
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	764	982	27255	2.03
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	789	982	27255	1.97
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	805	982	27255	1.93
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	833	982	27255	1.87
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	850	982	27255	1.83
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	56	868	982	27255	1.79
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	59	890	982	27255	1.84
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	59	920	982	27255	1.78
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	60	941	982	27255	1.77
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	60	961	982	27255	1.73
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	62	981	982	27255	1.75
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	62	1000	982	27255	1.72
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	63	1017	982	27255	1.72
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	64	1037	982	27255	1.71
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	64	1056	982	27255	1.68
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	67	1082	982	27255	1.72
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	69	1103	982	27255	1.74
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	69	1127	982	27255	1.7
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	69	1148	982	27255	1.67
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	72	1169	982	27255	1.71
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	72	1188	982	27255	1.68
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	74	1212	982	27255	1.69
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	74	1235	982	27255	1.66
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	74	1250	982	27255	1.64
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	Glucose_expression	GLUCOSE	74	1267	982	27255	1.62
