distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	6	25	982	27255	6.66
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	10	43	982	27255	6.45
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	14	59	982	27255	6.59
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	17	73	982	27255	6.46
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	20	80	982	27255	6.94
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	20	92	982	27255	6.03
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	22	109	982	27255	5.6
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	22	120	982	27255	5.09
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	22	131	982	27255	4.66
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	24	144	982	27255	4.63
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	27	159	982	27255	4.71
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	27	166	982	27255	4.51
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	27	175	982	27255	4.28
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	27	188	982	27255	3.99
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	Glucose_expression	GLUCOSE	28	197	982	27255	3.94
