distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	7	279	75	27255	9.12
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	321	75	27255	10.19
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	358	75	27255	9.14
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	393	75	27255	8.32
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	423	75	27255	7.73
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	462	75	27255	7.87
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	497	75	27255	7.31
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	528	75	27255	6.88
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	555	75	27255	6.55
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	583	75	27255	6.23
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	601	75	27255	6.05
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	621	75	27255	5.85
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	649	75	27255	5.6
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	681	75	27255	5.34
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	712	75	27255	5.1
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	742	75	27255	4.9
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	774	75	27255	4.7
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	796	75	27255	4.57
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	821	75	27255	4.43
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	849	75	27255	4.71
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	871	75	27255	4.59
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	907	75	27255	4.41
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	930	75	27255	4.3
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	963	75	27255	4.15
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	991	75	27255	4.03
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1016	75	27255	3.93
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1054	75	27255	3.79
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1077	75	27255	3.71
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1105	75	27255	3.62
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1139	75	27255	3.51
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1159	75	27255	3.45
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	1194	75	27255	3.35
