distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	5	88	75	27255	20.65
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	7	140	75	27255	18.17
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	8	178	75	27255	16.33
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	210	75	27255	15.57
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	9	255	75	27255	12.83
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	289	75	27255	12.57
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	330	75	27255	11.01
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	368	75	27255	9.88
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	394	75	27255	9.22
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	421	75	27255	8.63
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	455	75	27255	7.99
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	474	75	27255	7.67
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	501	75	27255	7.25
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	533	75	27255	6.82
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	558	75	27255	6.51
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	577	75	27255	6.3
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	600	75	27255	6.06
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	616	75	27255	5.9
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	647	75	27255	5.62
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	10	662	75	27255	5.49
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	678	75	27255	5.9
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	706	75	27255	5.66
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	726	75	27255	5.51
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	752	75	27255	5.32
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	788	75	27255	5.07
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	glucose-disease-drug	GLUCOSE	11	811	75	27255	4.93
