distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	5	76	75	27255	23.91
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	7	126	75	27255	20.19
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	8	160	75	27255	18.17
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	9	190	75	27255	17.21
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	9	232	75	27255	14.1
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	265	75	27255	13.71
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	301	75	27255	12.07
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	336	75	27255	10.82
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	358	75	27255	10.15
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	382	75	27255	9.51
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	416	75	27255	8.74
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	433	75	27255	8.39
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	460	75	27255	7.9
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	491	75	27255	7.4
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	515	75	27255	7.06
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	534	75	27255	6.81
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	562	75	27255	6.47
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	582	75	27255	6.24
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	607	75	27255	5.99
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	10	623	75	27255	5.83
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	638	75	27255	6.27
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	667	75	27255	5.99
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	686	75	27255	5.83
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	711	75	27255	5.62
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	746	75	27255	5.36
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	764	75	27255	5.23
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	789	75	27255	5.07
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	805	75	27255	4.97
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	833	75	27255	4.8
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	11	850	75	27255	4.7
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	868	75	27255	5.02
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	890	75	27255	4.9
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	920	75	27255	4.74
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	941	75	27255	4.63
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	961	75	27255	4.54
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	981	75	27255	4.45
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1000	75	27255	4.36
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1017	75	27255	4.29
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1037	75	27255	4.21
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1056	75	27255	4.13
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1082	75	27255	4.03
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1103	75	27255	3.95
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1127	75	27255	3.87
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	12	1148	75	27255	3.8
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1169	75	27255	4.04
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1188	75	27255	3.98
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1212	75	27255	3.9
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1235	75	27255	3.83
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1250	75	27255	3.78
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose-disease-drug	GLUCOSE	13	1267	75	27255	3.73
