distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	4	25	75	27255	58.14
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	4	43	75	27255	33.8
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	5	59	75	27255	30.8
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	73	75	27255	34.85
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	80	75	27255	31.8
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	92	75	27255	27.65
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	109	75	27255	23.34
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	120	75	27255	21.2
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	131	75	27255	19.42
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	144	75	27255	17.67
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	159	75	27255	16
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	166	75	27255	15.32
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	175	75	27255	14.54
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	188	75	27255	13.53
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose-disease-drug	GLUCOSE	7	197	75	27255	12.91
