distance	cutoff	targeting_method	snp_set	annotation	trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	37	279	1037	27255	3.48549890606692
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	43	321	1037	27255	3.52071485864148
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	43	358	1037	27255	3.15684209392155
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	45	393	1037	27255	3.00945180975656
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	48	423	1037	27255	2.98241654527175
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	49	462	1037	27255	2.78754273691593
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	50	497	1037	27255	2.64411929629852
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	53	528	1037	27255	2.63821009029543
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	53	555	1037	27255	2.50986473455133
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	54	583	1037	27255	2.43440389962469
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	55	601	1037	27255	2.40522465771448
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	55	621	1037	27255	2.32776170577521
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	56	649	1037	27255	2.26783137918584
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	56	681	1037	27255	2.16126661540618
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	58	712	1037	27255	2.1409938998624
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	60	742	1037	27255	2.1252732457041
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	62	774	1037	27255	2.10532020661867
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	62	796	1037	27255	2.0471329647272
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	63	821	1037	27255	2.01680923962005
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	65	849	1037	27255	2.0122090428015
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	65	871	1037	27255	1.96138401531398
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	68	907	1037	27255	1.97046649917762
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	68	930	1037	27255	1.92173453199365
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	69	963	1037	27255	1.88317306392451
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	72	991	1037	27255	1.90952905951052
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	73	1016	1037	27255	1.88841126356313
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	74	1054	1037	27255	1.84526412674131
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	75	1077	1037	27255	1.8302608499448
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	76	1105	1037	27255	1.80766830877444
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	78	1139	1037	27255	1.79985827287636
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	79	1159	1037	27255	1.79147637498825
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	83	1194	1037	27255	1.82701114056299
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	83	1227	1037	27255	1.77787392162364
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	84	1254	1037	27255	1.76055330752585
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	85	1278	1037	27255	1.74805664588625
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	87	1309	1037	27255	1.74681549660278
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	89	1338	1037	27255	1.74824108868718
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	89	1362	1037	27255	1.71743507831384
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	92	1390	1037	27255	1.7395641827907
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	94	1412	1037	27255	1.7496878935478
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	96	1438	1037	27255	1.75460667406113
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	97	1471	1037	27255	1.73311145010545
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	98	1499	1037	27255	1.71827184050055
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	101	1527	1037	27255	1.73840021370396
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	102	1547	1037	27255	1.73291510803565
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	102	1573	1037	27255	1.70427188310944
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	102	1601	1037	27255	1.67446575398573
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	104	1633	1037	27255	1.6738424762655
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	104	1657	1037	27255	1.6495985297173
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	104	1677	1037	27255	1.62992532125317
