distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	37	279	1037	27255	3.49
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	43	321	1037	27255	3.52
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	43	358	1037	27255	3.16
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	45	393	1037	27255	3.01
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	48	423	1037	27255	2.98
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	49	462	1037	27255	2.79
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	50	497	1037	27255	2.64
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	53	528	1037	27255	2.64
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	53	555	1037	27255	2.51
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	54	583	1037	27255	2.43
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	55	601	1037	27255	2.41
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	55	621	1037	27255	2.33
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	56	649	1037	27255	2.27
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	56	681	1037	27255	2.16
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	58	712	1037	27255	2.14
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	60	742	1037	27255	2.13
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	62	774	1037	27255	2.11
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	62	796	1037	27255	2.05
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	63	821	1037	27255	2.02
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	65	849	1037	27255	2.01
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	65	871	1037	27255	1.96
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	68	907	1037	27255	1.97
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	68	930	1037	27255	1.92
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	69	963	1037	27255	1.88
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	72	991	1037	27255	1.91
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	73	1016	1037	27255	1.89
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	74	1054	1037	27255	1.85
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	75	1077	1037	27255	1.83
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	76	1105	1037	27255	1.81
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	78	1139	1037	27255	1.8
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	79	1159	1037	27255	1.79
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	83	1194	1037	27255	1.83
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	83	1227	1037	27255	1.78
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	84	1254	1037	27255	1.76
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	85	1278	1037	27255	1.75
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	glucose_all_pc	GLUCOSE	87	1309	1037	27255	1.75
