distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	17	76	1037	27255	5.88
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	28	126	1037	27255	5.84
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	32	160	1037	27255	5.26
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	35	190	1037	27255	4.84
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	39	232	1037	27255	4.42
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	41	265	1037	27255	4.07
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	41	301	1037	27255	3.58
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	42	336	1037	27255	3.29
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	42	358	1037	27255	3.08
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	43	382	1037	27255	2.96
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	45	416	1037	27255	2.84
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	433	1037	27255	2.79
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	460	1037	27255	2.63
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	46	491	1037	27255	2.46
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	47	515	1037	27255	2.4
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	48	534	1037	27255	2.36
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	50	562	1037	27255	2.34
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	51	582	1037	27255	2.3
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	glucose_all_pc	GLUCOSE	51	607	1037	27255	2.21
