distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	6	25	1037	27255	6.31
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	10	43	1037	27255	6.11
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	15	59	1037	27255	6.68
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	19	73	1037	27255	6.84
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	22	80	1037	27255	7.23
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	22	92	1037	27255	6.28
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	24	109	1037	27255	5.79
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	24	120	1037	27255	5.26
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	24	131	1037	27255	4.82
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	26	144	1037	27255	4.75
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	29	159	1037	27255	4.79
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	29	166	1037	27255	4.59
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	29	175	1037	27255	4.36
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	29	188	1037	27255	4.05
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	30	197	1037	27255	4
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	31	207	1037	27255	3.94
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	32	216	1037	27255	3.89
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	33	223	1037	27255	3.89
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	33	239	1037	27255	3.63
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	33	250	1037	27255	3.47
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	34	259	1037	27255	3.45
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	34	275	1037	27255	3.25
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	35	286	1037	27255	3.22
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	36	298	1037	27255	3.18
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	glucose_all_pc	GLUCOSE	37	315	1037	27255	3.09
