distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	6305	67	27255	1.81
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	31	7251	67	27255	1.74
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	33	7943	67	27255	1.69
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	33	8473	67	27255	1.58
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	34	8947	67	27255	1.55
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	35	9395	67	27255	1.52
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	35	9770	67	27255	1.46
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	35	10147	67	27255	1.4
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	36	10508	67	27255	1.39
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	39	10837	67	27255	1.46
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	11135	67	27255	1.46
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	11462	67	27255	1.42
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	11750	67	27255	1.38
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	12024	67	27255	1.35
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	12273	67	27255	1.33
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	12534	67	27255	1.3
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	40	12773	67	27255	1.27
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	42	12994	67	27255	1.31
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	42	13217	67	27255	1.29
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	43	13425	67	27255	1.3
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	13644	67	27255	1.31
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	13827	67	27255	1.29
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14005	67	27255	1.28
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14208	67	27255	1.26
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14409	67	27255	1.24
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14583	67	27255	1.23
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14762	67	27255	1.21
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	14929	67	27255	1.2
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	15095	67	27255	1.19
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	15250	67	27255	1.17
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	44	15422	67	27255	1.16
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	15595	67	27255	1.17
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	15769	67	27255	1.16
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	15927	67	27255	1.15
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	16063	67	27255	1.14
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	16212	67	27255	1.13
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	45	16352	67	27255	1.12
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	16488	67	27255	1.13
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	16626	67	27255	1.13
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	16747	67	27255	1.12
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	16890	67	27255	1.11
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17028	67	27255	1.1
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17126	67	27255	1.09
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17255	67	27255	1.08
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17374	67	27255	1.08
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17497	67	27255	1.07
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17607	67	27255	1.06
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	46	17738	67	27255	1.05
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	48	17865	67	27255	1.09
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	49	17972	67	27255	1.11
