distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	16	1929	67	27255	3.37
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	21	3028	67	27255	2.82
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	23	3941	67	27255	2.37
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	25	4723	67	27255	2.15
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	5379	67	27255	2.12
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	6051	67	27255	1.88
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	6657	67	27255	1.71
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	7198	67	27255	1.58
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	28	7700	67	27255	1.48
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	30	8183	67	27255	1.49
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	33	8634	67	27255	1.55
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	33	9079	67	27255	1.48
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	33	9455	67	27255	1.42
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	34	9822	67	27255	1.41
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	36	10166	67	27255	1.44
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	36	10507	67	27255	1.39
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	37	10803	67	27255	1.39
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	37	11117	67	27255	1.35
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	37	11413	67	27255	1.32
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	39	11693	67	27255	1.36
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	41	11947	67	27255	1.4
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	41	12194	67	27255	1.37
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	height-disease-drug	HEIGHTz	41	12432	67	27255	1.34
