distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	10	1693	67	27255	2.4
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	15	2641	67	27255	2.31
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	17	3446	67	27255	2.01
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	19	4164	67	27255	1.86
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	21	4768	67	27255	1.79
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	24	5400	67	27255	1.81
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	24	5973	67	27255	1.63
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	24	6504	67	27255	1.5
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	25	6983	67	27255	1.46
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	26	7464	67	27255	1.42
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	29	7886	67	27255	1.5
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	29	8311	67	27255	1.42
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	29	8693	67	27255	1.36
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	29	9060	67	27255	1.3
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	31	9394	67	27255	1.34
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	31	9725	67	27255	1.3
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	33	10025	67	27255	1.34
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	34	10335	67	27255	1.34
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	34	10633	67	27255	1.3
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	36	10900	67	27255	1.34
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	39	11154	67	27255	1.42
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	39	11419	67	27255	1.39
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	39	11652	67	27255	1.36
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	39	11866	67	27255	1.34
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	40	12082	67	27255	1.35
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	41	12294	67	27255	1.36
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	12518	67	27255	1.4
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	12739	67	27255	1.37
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	12960	67	27255	1.35
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	13158	67	27255	1.33
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	13312	67	27255	1.31
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	13509	67	27255	1.29
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	13681	67	27255	1.28
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	13856	67	27255	1.26
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14021	67	27255	1.25
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14184	67	27255	1.23
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14340	67	27255	1.22
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14501	67	27255	1.21
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14658	67	27255	1.19
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14809	67	27255	1.18
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	14948	67	27255	1.17
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15082	67	27255	1.16
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15226	67	27255	1.15
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15375	67	27255	1.14
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15490	67	27255	1.13
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15617	67	27255	1.12
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15755	67	27255	1.11
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	43	15892	67	27255	1.1
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	45	16046	67	27255	1.14
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	height-disease-drug	HEIGHTz	45	16166	67	27255	1.13
