distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	6	748	67	27255	3.26
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	10	1169	67	27255	3.48
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	11	1518	67	27255	2.95
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	12	1872	67	27255	2.61
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	14	2161	67	27255	2.64
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	17	2484	67	27255	2.78
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	17	2799	67	27255	2.47
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	17	3072	67	27255	2.25
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	17	3332	67	27255	2.08
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	19	3609	67	27255	2.14
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	3872	67	27255	2.1
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	4134	67	27255	1.97
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	4363	67	27255	1.86
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	4596	67	27255	1.77
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	4829	67	27255	1.68
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	20	5049	67	27255	1.61
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	21	5270	67	27255	1.62
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	21	5503	67	27255	1.55
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	21	5739	67	27255	1.49
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	24	5961	67	27255	1.64
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	28	6180	67	27255	1.84
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	28	6385	67	27255	1.78
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	28	6559	67	27255	1.74
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	29	6734	67	27255	1.75
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	30	6901	67	27255	1.77
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	30	7063	67	27255	1.73
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	7265	67	27255	1.74
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	7435	67	27255	1.7
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	7603	67	27255	1.66
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	7784	67	27255	1.62
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	7954	67	27255	1.59
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	8123	67	27255	1.55
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	31	8283	67	27255	1.52
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	32	8443	67	27255	1.54
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	32	8583	67	27255	1.52
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	32	8727	67	27255	1.49
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	33	8867	67	27255	1.51
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	34	9008	67	27255	1.54
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	height-disease-drug	HEIGHTz	34	9150	67	27255	1.51
