distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	96	1145	1142	27255	2
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	110	1350	1142	27255	1.94
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	121	1511	1142	27255	1.91
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	129	1636	1142	27255	1.88
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	137	1745	1142	27255	1.87
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	140	1859	1142	27255	1.8
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	149	1960	1142	27255	1.81
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	151	2042	1142	27255	1.76
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	157	2150	1142	27255	1.74
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	163	2256	1142	27255	1.72
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	166	2341	1142	27255	1.69
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	172	2430	1142	27255	1.69
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	177	2494	1142	27255	1.69
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	182	2580	1142	27255	1.68
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	185	2658	1142	27255	1.66
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	187	2730	1142	27255	1.63
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	190	2814	1142	27255	1.61
