distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	35	282	1142	27255	2.96
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	58	493	1142	27255	2.81
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	74	663	1142	27255	2.66
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	85	813	1142	27255	2.5
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	100	955	1142	27255	2.5
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	105	1074	1142	27255	2.33
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	112	1191	1142	27255	2.24
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	116	1296	1142	27255	2.14
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	123	1395	1142	27255	2.1
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	129	1522	1142	27255	2.02
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	131	1630	1142	27255	1.92
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	136	1722	1142	27255	1.88
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	139	1812	1142	27255	1.83
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	146	1909	1142	27255	1.83
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	150	1990	1142	27255	1.8
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	154	2072	1142	27255	1.77
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	158	2157	1142	27255	1.75
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	165	2236	1142	27255	1.76
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	172	2311	1142	27255	1.78
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	176	2389	1142	27255	1.76
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	178	2475	1142	27255	1.72
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	185	2533	1142	27255	1.74
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	185	2623	1142	27255	1.68
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	186	2680	1142	27255	1.66
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	191	2742	1142	27255	1.66
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	193	2814	1142	27255	1.64
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	195	2880	1142	27255	1.62
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	200	2953	1142	27255	1.62
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	201	3005	1142	27255	1.6
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	206	3079	1142	27255	1.6
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	208	3142	1142	27255	1.58
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	210	3200	1142	27255	1.57
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	211	3267	1142	27255	1.54
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	212	3321	1142	27255	1.52
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	216	3384	1142	27255	1.52
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	220	3442	1142	27255	1.53
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	222	3500	1142	27255	1.51
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	228	3565	1142	27255	1.53
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	230	3617	1142	27255	1.52
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	233	3682	1142	27255	1.51
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	233	3732	1142	27255	1.49
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	237	3785	1142	27255	1.49
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	240	3842	1142	27255	1.49
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	242	3899	1142	27255	1.48
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	245	3953	1142	27255	1.48
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	247	4012	1142	27255	1.47
470000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	250	4071	1142	27255	1.47
480000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	254	4121	1142	27255	1.47
490000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	255	4184	1142	27255	1.45
500000	log10_Bayes_factor_2	closest_gene	All_SNPs	LDL_expression	LDL_CHOLESTEROL	256	4238	1142	27255	1.44
