distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	29	244	1142	27255	2.84
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	53	411	1142	27255	3.08
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	68	562	1142	27255	2.89
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	76	689	1142	27255	2.63
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	90	820	1142	27255	2.62
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	97	926	1142	27255	2.5
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	103	1041	1142	27255	2.36
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	108	1133	1142	27255	2.27
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	114	1220	1142	27255	2.23
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	118	1336	1142	27255	2.11
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	121	1435	1142	27255	2.01
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	126	1524	1142	27255	1.97
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	128	1602	1142	27255	1.91
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	133	1699	1142	27255	1.87
