distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	4	72	1142	27255	1.33
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	8	136	1142	27255	1.4
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	12	187	1142	27255	1.53
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	15	229	1142	27255	1.56
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	17	265	1142	27255	1.53
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	21	303	1142	27255	1.65
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	25	349	1142	27255	1.71
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	26	393	1142	27255	1.58
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	27	423	1142	27255	1.52
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	29	476	1142	27255	1.45
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	32	515	1142	27255	1.48
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	35	553	1142	27255	1.51
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	36	585	1142	27255	1.47
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	38	616	1142	27255	1.47
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	39	648	1142	27255	1.44
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	41	688	1142	27255	1.42
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	43	725	1142	27255	1.42
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	47	764	1142	27255	1.47
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	50	799	1142	27255	1.49
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	54	838	1142	27255	1.54
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	58	876	1142	27255	1.58
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	61	912	1142	27255	1.6
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	63	959	1142	27255	1.57
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	64	989	1142	27255	1.54
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	69	1027	1142	27255	1.6
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	71	1054	1142	27255	1.61
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	72	1075	1142	27255	1.6
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	74	1111	1142	27255	1.59
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	74	1138	1142	27255	1.55
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	79	1175	1142	27255	1.6
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LDL_expression	LDL_CHOLESTEROL	82	1205	1142	27255	1.62
