distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1145	22	27255	9.74
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1350	22	27255	8.26
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	1511	22	27255	8.2
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	1636	22	27255	7.57
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	1745	22	27255	7.1
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	1859	22	27255	6.66
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	1960	22	27255	6.32
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	2042	22	27255	6.07
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	2150	22	27255	5.76
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	2256	22	27255	5.49
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	2341	22	27255	5.29
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	10	2430	22	27255	5.1
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2494	22	27255	5.46
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2580	22	27255	5.28
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2658	22	27255	5.13
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2730	22	27255	4.99
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2814	22	27255	4.84
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2886	22	27255	4.72
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	2954	22	27255	4.61
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	3013	22	27255	4.52
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	3093	22	27255	4.41
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	11	3158	22	27255	4.32
