distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	4	282	22	27255	17.57
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	6	493	22	27255	15.08
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	6	663	22	27255	11.21
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	7	813	22	27255	10.67
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	955	22	27255	10.38
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1074	22	27255	9.23
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1191	22	27255	8.32
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1296	22	27255	7.65
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1395	22	27255	7.1
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1522	22	27255	7.33
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1630	22	27255	6.84
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1722	22	27255	6.47
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1812	22	27255	6.15
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1909	22	27255	5.84
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1990	22	27255	5.6
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2072	22	27255	5.38
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2157	22	27255	5.17
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2236	22	27255	4.99
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2311	22	27255	4.82
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2389	22	27255	4.67
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2475	22	27255	4.5
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2533	22	27255	4.4
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2623	22	27255	4.25
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2680	22	27255	4.16
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2742	22	27255	4.07
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2814	22	27255	3.96
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2880	22	27255	3.87
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2953	22	27255	3.78
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3005	22	27255	3.71
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3079	22	27255	3.62
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3142	22	27255	3.55
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3200	22	27255	3.48
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3267	22	27255	3.41
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3321	22	27255	3.36
350000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3384	22	27255	3.29
360000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3442	22	27255	3.24
370000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3500	22	27255	3.19
380000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3565	22	27255	3.13
390000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3617	22	27255	3.08
400000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3682	22	27255	3.03
410000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3732	22	27255	2.99
420000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3785	22	27255	2.95
430000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3842	22	27255	2.9
440000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3899	22	27255	2.86
450000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3953	22	27255	2.82
460000	log10_Bayes_factor_2	closest_gene	All_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	4012	22	27255	2.78
