distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	4	244	22	27255	20.31
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	5	411	22	27255	15.07
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	6	562	22	27255	13.23
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	6	689	22	27255	10.79
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	6	820	22	27255	9.06
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	7	926	22	27255	9.37
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	7	1041	22	27255	8.33
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1133	22	27255	8.75
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1220	22	27255	8.12
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1336	22	27255	7.42
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	8	1435	22	27255	6.91
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1524	22	27255	7.32
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1602	22	27255	6.96
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1699	22	27255	6.56
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1768	22	27255	6.31
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1846	22	27255	6.04
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1922	22	27255	5.8
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	1996	22	27255	5.59
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2071	22	27255	5.38
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2144	22	27255	5.2
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2228	22	27255	5
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2294	22	27255	4.86
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2374	22	27255	4.7
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2431	22	27255	4.59
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2486	22	27255	4.49
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2554	22	27255	4.37
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2613	22	27255	4.27
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2690	22	27255	4.14
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2748	22	27255	4.06
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2814	22	27255	3.96
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2878	22	27255	3.87
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	2939	22	27255	3.79
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3001	22	27255	3.72
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3049	22	27255	3.66
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3107	22	27255	3.59
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3164	22	27255	3.52
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3224	22	27255	3.46
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3277	22	27255	3.4
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3322	22	27255	3.36
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3389	22	27255	3.29
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3434	22	27255	3.25
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	9	3482	22	27255	3.2
