distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	2	72	22	27255	34.41
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	136	22	27255	27.33
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	187	22	27255	19.87
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	229	22	27255	16.23
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	265	22	27255	14.02
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	303	22	27255	12.27
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	349	22	27255	10.65
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	393	22	27255	9.46
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	423	22	27255	8.79
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	476	22	27255	7.81
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	515	22	27255	7.22
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	553	22	27255	6.72
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	585	22	27255	6.35
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	616	22	27255	6.03
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	648	22	27255	5.74
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	688	22	27255	5.4
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	725	22	27255	5.13
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	764	22	27255	4.86
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	799	22	27255	4.65
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	838	22	27255	4.44
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	876	22	27255	4.24
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	912	22	27255	4.08
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	959	22	27255	3.88
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	989	22	27255	3.76
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	1027	22	27255	3.62
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	1054	22	27255	3.53
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	3	1075	22	27255	3.46
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	4	1111	22	27255	4.46
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	ldl_all_pc	LDL_CHOLESTEROL	4	1138	22	27255	4.35
