distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	52	271	1275	27255	4.1
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	55	333	1275	27255	3.53
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	58	385	1275	27255	3.22
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	60	428	1275	27255	3
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	63	474	1275	27255	2.84
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	68	520	1275	27255	2.8
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	68	569	1275	27255	2.55
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	71	613	1275	27255	2.48
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	73	660	1275	27255	2.36
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	78	701	1275	27255	2.38
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	80	751	1275	27255	2.28
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	82	786	1275	27255	2.23
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	86	819	1275	27255	2.24
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	87	855	1275	27255	2.18
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	92	887	1275	27255	2.22
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	94	924	1275	27255	2.17
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	97	973	1275	27255	2.13
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	98	1017	1275	27255	2.06
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	99	1052	1275	27255	2.01
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	101	1087	1275	27255	1.99
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	103	1130	1275	27255	1.95
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	103	1165	1275	27255	1.89
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	107	1203	1275	27255	1.9
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	108	1243	1275	27255	1.86
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	111	1266	1275	27255	1.87
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	113	1311	1275	27255	1.84
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	114	1360	1275	27255	1.79
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	114	1390	1275	27255	1.75
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	115	1416	1275	27255	1.74
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	118	1459	1275	27255	1.73
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	118	1496	1275	27255	1.69
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	121	1521	1275	27255	1.7
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	123	1566	1275	27255	1.68
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	124	1597	1275	27255	1.66
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	126	1639	1275	27255	1.64
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	128	1682	1275	27255	1.63
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	132	1712	1275	27255	1.65
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	132	1737	1275	27255	1.62
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	137	1772	1275	27255	1.65
