distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	25	107	1275	27255	4.99
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	31	156	1275	27255	4.25
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	42	208	1275	27255	4.32
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	47	239	1275	27255	4.2
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	52	279	1275	27255	3.98
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	54	321	1275	27255	3.6
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	59	357	1275	27255	3.53
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	60	406	1275	27255	3.16
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	64	446	1275	27255	3.07
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	68	488	1275	27255	2.98
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	70	533	1275	27255	2.81
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	72	576	1275	27255	2.67
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	74	600	1275	27255	2.64
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	75	628	1275	27255	2.55
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	78	656	1275	27255	2.54
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	81	693	1275	27255	2.5
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	82	725	1275	27255	2.42
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	83	763	1275	27255	2.33
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	83	794	1275	27255	2.23
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	84	823	1275	27255	2.18
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	87	856	1275	27255	2.17
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	LOW_TSH_expression	LOW_TSH	87	885	1275	27255	2.1
