distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	24	100	1275	27255	5.13
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	29	147	1275	27255	4.22
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	38	198	1275	27255	4.1
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	42	224	1275	27255	4.01
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	46	261	1275	27255	3.77
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	49	306	1275	27255	3.42
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	54	341	1275	27255	3.39
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	55	389	1275	27255	3.02
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	59	428	1275	27255	2.95
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	61	466	1275	27255	2.8
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	63	511	1275	27255	2.64
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	65	553	1275	27255	2.51
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	67	578	1275	27255	2.48
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	68	605	1275	27255	2.4
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	71	633	1275	27255	2.4
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	73	667	1275	27255	2.34
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	74	701	1275	27255	2.26
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	75	739	1275	27255	2.17
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	75	771	1275	27255	2.08
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	77	798	1275	27255	2.06
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	80	830	1275	27255	2.06
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	80	858	1275	27255	1.99
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	80	890	1275	27255	1.92
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	82	922	1275	27255	1.9
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	82	945	1275	27255	1.85
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	85	976	1275	27255	1.86
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	88	1001	1275	27255	1.88
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	90	1038	1275	27255	1.85
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	90	1066	1275	27255	1.8
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	91	1086	1275	27255	1.79
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	92	1120	1275	27255	1.76
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	94	1143	1275	27255	1.76
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	96	1182	1275	27255	1.74
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	97	1220	1275	27255	1.7
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	100	1254	1275	27255	1.7
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	100	1280	1275	27255	1.67
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	101	1313	1275	27255	1.64
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	101	1332	1275	27255	1.62
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	105	1355	1275	27255	1.66
400000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	106	1381	1275	27255	1.64
410000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	107	1403	1275	27255	1.63
420000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	107	1432	1275	27255	1.6
430000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	108	1452	1275	27255	1.59
440000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	111	1487	1275	27255	1.6
450000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	115	1515	1275	27255	1.62
460000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	117	1538	1275	27255	1.63
470000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	117	1565	1275	27255	1.6
480000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	118	1588	1275	27255	1.59
490000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	119	1615	1275	27255	1.58
500000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	LOW_TSH_expression	LOW_TSH	121	1643	1275	27255	1.57
