distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	18	61	1275	27255	6.31
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	19	84	1275	27255	4.84
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	22	115	1275	27255	4.09
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	26	131	1275	27255	4.24
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	30	156	1275	27255	4.11
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	32	178	1275	27255	3.84
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	36	204	1275	27255	3.77
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	37	240	1275	27255	3.3
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	40	269	1275	27255	3.18
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	42	301	1275	27255	2.98
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	46	332	1275	27255	2.96
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	48	369	1275	27255	2.78
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	51	386	1275	27255	2.82
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	52	400	1275	27255	2.78
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	52	422	1275	27255	2.63
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	55	447	1275	27255	2.63
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	57	470	1275	27255	2.59
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	58	494	1275	27255	2.51
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	59	520	1275	27255	2.43
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	60	539	1275	27255	2.38
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	63	566	1275	27255	2.38
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	63	590	1275	27255	2.28
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	63	615	1275	27255	2.19
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	65	638	1275	27255	2.18
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	65	658	1275	27255	2.11
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	66	681	1275	27255	2.07
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	69	699	1275	27255	2.11
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	69	722	1275	27255	2.04
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	69	743	1275	27255	1.99
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	71	762	1275	27255	1.99
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	72	790	1275	27255	1.95
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	74	810	1275	27255	1.95
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	75	840	1275	27255	1.91
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	76	862	1275	27255	1.88
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	77	885	1275	27255	1.86
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	77	907	1275	27255	1.81
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	77	934	1275	27255	1.76
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	77	953	1275	27255	1.73
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	80	972	1275	27255	1.76
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	LOW_TSH_expression	LOW_TSH	80	989	1275	27255	1.73
