distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	271	9	27255	33.52
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	333	9	27255	27.28
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	385	9	27255	23.6
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	428	9	27255	21.23
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	474	9	27255	19.17
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	520	9	27255	17.47
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	569	9	27255	15.97
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	613	9	27255	14.82
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	660	9	27255	13.77
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	701	9	27255	12.96
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	751	9	27255	12.1
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	786	9	27255	11.56
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	819	9	27255	11.09
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	855	9	27255	10.63
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	887	9	27255	10.24
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	924	9	27255	9.83
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	973	9	27255	9.34
