distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	1	107	9	27255	28.3
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	1	156	9	27255	19.41
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	208	9	27255	29.12
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	239	9	27255	25.34
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	279	9	27255	21.71
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	321	9	27255	18.87
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	357	9	27255	16.97
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	406	9	27255	14.92
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	2	446	9	27255	13.58
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	488	9	27255	18.62
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	533	9	27255	17.05
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	576	9	27255	15.77
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	600	9	27255	15.14
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	628	9	27255	14.47
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	656	9	27255	13.85
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	693	9	27255	13.11
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	725	9	27255	12.53
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	763	9	27255	11.91
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	794	9	27255	11.44
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	823	9	27255	11.04
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh-disease-drug	LOW_TSH	3	856	9	27255	10.61
