distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	100	9	27255	30.28
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	147	9	27255	20.6
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	198	9	27255	15.29
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	224	9	27255	13.52
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	261	9	27255	11.6
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	306	9	27255	9.9
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	341	9	27255	8.88
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	389	9	27255	7.78
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	428	9	27255	7.08
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	466	9	27255	6.5
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	511	9	27255	5.93
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	553	9	27255	5.48
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	578	9	27255	5.24
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	605	9	27255	5.01
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	633	9	27255	4.78
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	667	9	27255	4.54
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	701	9	27255	4.32
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	739	9	27255	4.1
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	771	9	27255	3.93
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	798	9	27255	7.59
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	830	9	27255	7.3
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	858	9	27255	7.06
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	890	9	27255	6.81
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	922	9	27255	6.57
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	945	9	27255	6.41
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	976	9	27255	6.21
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1001	9	27255	6.05
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1038	9	27255	5.83
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1066	9	27255	5.68
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1086	9	27255	5.58
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1120	9	27255	5.41
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh-disease-drug	LOW_TSH	2	1143	9	27255	5.3
