distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	61	9	27255	0
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	84	9	27255	0
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	115	9	27255	0
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	131	9	27255	0
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	156	9	27255	0
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	178	9	27255	0
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	204	9	27255	0
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	240	9	27255	0
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	269	9	27255	0
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	301	9	27255	0
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	332	9	27255	0
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	369	9	27255	0
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	386	9	27255	0
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	400	9	27255	0
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	422	9	27255	0
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	447	9	27255	0
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	470	9	27255	0
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	494	9	27255	0
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	520	9	27255	0
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	539	9	27255	0
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	566	9	27255	0
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	590	9	27255	0
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	615	9	27255	0
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	638	9	27255	0
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	658	9	27255	0
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	681	9	27255	0
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	699	9	27255	0
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	722	9	27255	0
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	743	9	27255	0
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	762	9	27255	0
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	790	9	27255	0
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	810	9	27255	0
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	840	9	27255	0
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	862	9	27255	0
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	885	9	27255	0
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	907	9	27255	0
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	934	9	27255	0
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	953	9	27255	0
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	972	9	27255	0
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	989	9	27255	0
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	1003	9	27255	0
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	1028	9	27255	0
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	1042	9	27255	0
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	1066	9	27255	0
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	0	1088	9	27255	0
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	1107	9	27255	2.74
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	1128	9	27255	2.68
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	1150	9	27255	2.63
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	1170	9	27255	2.59
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh-disease-drug	LOW_TSH	1	1191	9	27255	2.54
