distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	53	271	1280	27255	4.16
20000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	56	333	1280	27255	3.58
30000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	59	385	1280	27255	3.26
40000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	61	428	1280	27255	3.03
50000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	64	474	1280	27255	2.88
60000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	69	520	1280	27255	2.83
70000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	69	569	1280	27255	2.58
80000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	72	613	1280	27255	2.5
90000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	74	660	1280	27255	2.39
100000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	79	701	1280	27255	2.4
110000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	81	751	1280	27255	2.3
120000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	83	786	1280	27255	2.25
130000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	87	819	1280	27255	2.26
140000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	88	855	1280	27255	2.19
150000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	93	887	1280	27255	2.23
160000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	95	924	1280	27255	2.19
170000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	98	973	1280	27255	2.14
180000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	99	1017	1280	27255	2.07
190000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	100	1052	1280	27255	2.02
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	102	1087	1280	27255	2
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	104	1130	1280	27255	1.96
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	104	1165	1280	27255	1.9
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	108	1203	1280	27255	1.91
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	109	1243	1280	27255	1.87
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	112	1266	1280	27255	1.88
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	114	1311	1280	27255	1.85
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	115	1360	1280	27255	1.8
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	115	1390	1280	27255	1.76
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	116	1416	1280	27255	1.74
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	119	1459	1280	27255	1.74
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	119	1496	1280	27255	1.69
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	122	1521	1280	27255	1.71
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	124	1566	1280	27255	1.69
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	125	1597	1280	27255	1.67
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	127	1639	1280	27255	1.65
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	129	1682	1280	27255	1.63
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	133	1712	1280	27255	1.65
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	133	1737	1280	27255	1.63
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	138	1772	1280	27255	1.66
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	139	1805	1280	27255	1.64
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	140	1827	1280	27255	1.63
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	140	1855	1280	27255	1.61
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	141	1885	1280	27255	1.59
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	142	1921	1280	27255	1.57
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	146	1960	1280	27255	1.59
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	147	1993	1280	27255	1.57
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	148	2020	1280	27255	1.56
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	150	2058	1280	27255	1.55
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	153	2096	1280	27255	1.55
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	154	2134	1280	27255	1.54
