distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	26	107	1280	27255	5.17
20000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	32	156	1280	27255	4.37
30000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	43	208	1280	27255	4.4
40000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	48	239	1280	27255	4.28
50000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	53	279	1280	27255	4.04
60000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	55	321	1280	27255	3.65
70000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	60	357	1280	27255	3.58
80000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	61	406	1280	27255	3.2
90000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	65	446	1280	27255	3.1
100000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	69	488	1280	27255	3.01
110000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	71	533	1280	27255	2.84
120000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	73	576	1280	27255	2.7
130000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	75	600	1280	27255	2.66
140000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	76	628	1280	27255	2.58
150000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	79	656	1280	27255	2.56
160000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	82	693	1280	27255	2.52
170000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	83	725	1280	27255	2.44
180000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	84	763	1280	27255	2.34
190000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	84	794	1280	27255	2.25
200000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	85	823	1280	27255	2.2
210000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	88	856	1280	27255	2.19
220000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	88	885	1280	27255	2.12
230000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	88	918	1280	27255	2.04
240000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	90	952	1280	27255	2.01
250000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	90	977	1280	27255	1.96
260000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	93	1009	1280	27255	1.96
270000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	96	1036	1280	27255	1.97
280000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	99	1074	1280	27255	1.96
290000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	99	1101	1280	27255	1.91
300000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	101	1125	1280	27255	1.91
310000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	102	1158	1280	27255	1.88
320000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	104	1183	1280	27255	1.87
330000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	106	1222	1280	27255	1.85
340000	log10_Bayes_factor_2	closest_gene	All_SNPs	lowtsh_all_pc	LOW_TSH	107	1261	1280	27255	1.81
