distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	25	100	1280	27255	5.32
20000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	30	147	1280	27255	4.35
30000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	39	198	1280	27255	4.19
40000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	43	224	1280	27255	4.09
50000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	47	261	1280	27255	3.83
60000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	50	306	1280	27255	3.48
70000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	55	341	1280	27255	3.43
80000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	56	389	1280	27255	3.07
90000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	60	428	1280	27255	2.98
100000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	62	466	1280	27255	2.83
110000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	64	511	1280	27255	2.67
120000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	66	553	1280	27255	2.54
130000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	68	578	1280	27255	2.51
140000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	69	605	1280	27255	2.43
150000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	72	633	1280	27255	2.42
160000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	74	667	1280	27255	2.36
170000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	75	701	1280	27255	2.28
180000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	76	739	1280	27255	2.19
190000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	76	771	1280	27255	2.1
200000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	78	798	1280	27255	2.08
210000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	81	830	1280	27255	2.08
220000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	81	858	1280	27255	2.01
230000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	81	890	1280	27255	1.94
240000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	83	922	1280	27255	1.92
250000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	83	945	1280	27255	1.87
260000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	86	976	1280	27255	1.88
270000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	89	1001	1280	27255	1.89
280000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	91	1038	1280	27255	1.87
290000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	91	1066	1280	27255	1.82
300000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	92	1086	1280	27255	1.8
310000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	93	1120	1280	27255	1.77
320000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	95	1143	1280	27255	1.77
330000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	97	1182	1280	27255	1.75
340000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	98	1220	1280	27255	1.71
350000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	101	1254	1280	27255	1.71
360000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	101	1280	1280	27255	1.68
370000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	102	1313	1280	27255	1.65
380000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	102	1332	1280	27255	1.63
390000	log10_Bayes_factor_2	closest_gene	DHS_SNPs	lowtsh_all_pc	LOW_TSH	106	1355	1280	27255	1.67
