distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	18	61	1280	27255	6.28
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	19	84	1280	27255	4.82
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	22	115	1280	27255	4.07
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	26	131	1280	27255	4.23
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	30	156	1280	27255	4.09
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	32	178	1280	27255	3.83
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	36	204	1280	27255	3.76
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	37	240	1280	27255	3.28
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	40	269	1280	27255	3.17
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	42	301	1280	27255	2.97
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	46	332	1280	27255	2.95
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	48	369	1280	27255	2.77
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	51	386	1280	27255	2.81
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	52	400	1280	27255	2.77
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	52	422	1280	27255	2.62
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	55	447	1280	27255	2.62
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	lowtsh_all_pc	LOW_TSH	57	470	1280	27255	2.58
