distance	cutoff	targeting_method	snp_set	gene_set	Trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	Enrichment
10000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	4	190	68	27255	8.44
20000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	5	306	68	27255	6.55
30000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	400	68	27255	6.01
40000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	499	68	27255	4.82
50000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	584	68	27255	4.12
60000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	672	68	27255	3.58
70000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	775	68	27255	3.1
80000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	6	871	68	27255	2.76
90000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	7	967	68	27255	2.9
100000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	8	1064	68	27255	3.01
110000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	8	1168	68	27255	2.75
120000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	9	1251	68	27255	2.88
130000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	10	1334	68	27255	3
140000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	11	1417	68	27255	3.11
150000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	11	1498	68	27255	2.94
160000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	11	1566	68	27255	2.82
170000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	11	1640	68	27255	2.69
180000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	12	1707	68	27255	2.82
190000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	12	1782	68	27255	2.7
200000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	12	1860	68	27255	2.59
210000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	12	1935	68	27255	2.49
220000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	13	2004	68	27255	2.6
230000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	13	2064	68	27255	2.52
240000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	13	2126	68	27255	2.45
250000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	13	2204	68	27255	2.36
260000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	13	2263	68	27255	2.3
270000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	14	2326	68	27255	2.41
280000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	14	2395	68	27255	2.34
290000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	14	2467	68	27255	2.27
300000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	14	2519	68	27255	2.23
310000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	14	2576	68	27255	2.18
320000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2655	68	27255	2.26
330000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2714	68	27255	2.22
340000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2774	68	27255	2.17
350000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2827	68	27255	2.13
360000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2883	68	27255	2.09
370000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2930	68	27255	2.05
380000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	2983	68	27255	2.02
390000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3039	68	27255	1.98
400000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3091	68	27255	1.95
410000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3139	68	27255	1.92
420000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3179	68	27255	1.89
430000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3228	68	27255	1.86
440000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3282	68	27255	1.83
450000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3340	68	27255	1.8
460000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3390	68	27255	1.77
470000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3448	68	27255	1.74
480000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3505	68	27255	1.72
490000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3572	68	27255	1.68
500000	log10_Bayes_factor_2	closest_gene	Trait-Specific_DHS_SNPs	rbc-disease-drug	RED_COUNT	15	3618	68	27255	1.66
